thrds,tps,qps,99% latency
64,4612.74,73807.90,18.61
64,4611.84,73785.71,18.28
64,4606.96,73712.72,18.28
64,4607.25,73717.05,18.61
64,4611.19,73774.38,18.28
64,4607.00,73715.92,18.28
64,4613.55,73805.01,18.28
64,4604.88,73698.31,18.28
64,4615.82,73838.87,18.28
64,4615.77,73849.56,18.28
64,4611.05,73788.15,18.28
64,4615.82,73845.56,18.28
64,4614.58,73834.02,18.28
64,4612.77,73797.88,18.28
64,4611.26,73775.93,18.28
64,4604.98,73677.21,18.28
64,4607.55,73731.27,18.28
64,4614.50,73830.21,18.28
64,4613.33,73813.31,18.28
64,4609.85,73757.21,18.28
64,4614.58,73837.74,18.28
64,4599.41,73587.77,18.61
64,4617.83,73883.04,18.61
64,4628.15,74059.22,18.28
64,4604.39,73670.80,18.28
64,4602.99,73647.59,18.28
64,4606.82,73708.54,18.28
64,4602.81,73634.81,18.28
64,4613.82,73827.96,18.28
64,4623.50,73988.21,18.28
64,4615.38,73832.47,18.61
64,4612.04,73785.89,18.61
64,4614.47,73835.32,18.28
64,4600.71,73610.89,18.28
64,4607.01,73716.55,18.28
64,4617.99,73885.48,18.28
64,4609.80,73754.45,18.28
64,4591.01,73453.14,18.61
64,4610.40,73777.36,18.61
64,4605.05,73673.05,18.61
64,4608.84,73733.43,18.28
64,4607.57,73729.93,18.28
64,4615.00,73846.78,18.28
64,4603.96,73660.52,18.28
64,4612.58,73805.28,18.28
64,4601.22,73610.25,18.61
64,4615.33,73846.76,18.28
64,4607.70,73716.67,18.28
64,4617.64,73887.62,18.28
64,4612.18,73797.70,18.28
64,4609.92,73755.28,18.61
64,4617.24,73901.69,18.28
64,4619.61,73889.10,18.28
64,4605.84,73691.70,18.28
64,4609.70,73762.02,18.28
64,4609.02,73748.47,18.28
64,4611.96,73787.23,18.28
64,4611.87,73801.12,18.28
64,4606.61,73708.74,18.28
64,4612.05,73783.59,18.28
64,4605.79,73695.05,18.28
64,4619.30,73908.86,18.28
64,4617.48,73875.65,18.28
64,4619.81,73922.18,18.28
64,4617.38,73867.41,18.28
64,4613.97,73823.75,18.28
64,4607.59,73720.98,18.28
64,4610.82,73780.34,18.28
64,4607.15,73708.86,18.28
64,4622.10,73940.60,18.28
64,4619.55,73916.96,18.61
64,4618.04,73901.81,18.28
64,4619.71,73898.91,18.28
64,4612.25,73812.22,18.28
64,4617.57,73884.38,18.28
64,4605.45,73686.14,18.61
64,4613.13,73800.04,18.28
