%user,%system,%iowait,%idle
34.05,35.20,28.79,1.97
33.76,33.72,30.49,2.03
33.91,34.65,29.21,2.23
36.44,38.60,22.62,2.33
36.90,39.08,22.17,1.84
33.97,34.07,30.13,1.83
33.97,33.52,30.61,1.90
36.35,38.81,23.02,1.82
33.80,33.47,30.56,2.18
37.14,39.79,21.03,2.04
34.12,35.83,27.81,2.25
37.45,38.28,22.20,2.07
36.51,37.35,23.69,2.45
35.36,35.15,27.04,2.45
33.35,32.48,31.94,2.23
37.68,41.50,18.80,2.02
36.70,39.44,21.68,2.17
34.93,35.15,27.54,2.38
33.93,32.93,30.99,2.16
37.71,39.36,20.92,2.02
36.76,37.85,23.16,2.22
36.09,36.58,25.16,2.18
33.42,32.78,31.41,2.39
33.25,32.47,31.89,2.39
36.49,38.04,23.22,2.25
36.35,37.88,23.92,1.85
36.58,37.02,24.14,2.25
38.94,40.69,18.31,2.06
36.54,36.82,24.50,2.15
38.75,39.94,19.30,2.01
38.37,41.00,18.70,1.93
39.03,40.13,18.82,2.02
38.47,39.38,20.04,2.11
38.03,40.06,19.79,2.12
38.61,40.93,18.62,1.83
38.22,39.43,20.27,2.08
38.84,39.64,19.44,2.09
37.66,39.15,20.95,2.23
37.69,39.43,20.88,2.00
38.13,39.29,20.65,1.94
37.67,39.75,20.53,2.06
38.60,40.39,19.10,1.92
38.03,39.97,19.91,2.09
38.54,39.36,19.90,2.20
37.98,39.86,19.99,2.17
37.55,38.66,21.62,2.17
37.40,39.15,21.24,2.21
38.23,39.71,19.92,2.14
37.57,39.65,20.60,2.17
37.62,39.98,20.08,2.31
37.79,40.92,19.22,2.07
37.72,39.83,20.49,1.96
38.30,40.03,19.40,2.27
37.39,39.67,20.69,2.25
37.78,39.19,20.91,2.12
37.96,39.90,19.90,2.24
37.59,39.39,20.73,2.28
37.98,39.68,20.30,2.04
37.45,39.86,20.64,2.04
37.20,39.75,20.98,2.07
37.87,40.17,19.97,1.99
37.55,40.34,19.98,2.14
37.74,39.78,20.08,2.40
37.27,39.21,21.42,2.10
37.91,39.19,20.82,2.08
37.59,39.80,20.44,2.17
37.49,39.86,20.43,2.23
36.73,38.54,22.65,2.08
37.24,39.15,21.42,2.19
37.60,39.48,20.58,2.35
38.15,39.68,20.00,2.16
37.78,39.05,21.13,2.04
37.25,39.24,21.36,2.15
37.50,39.43,20.82,2.25
36.61,38.15,22.85,2.40
37.67,40.01,20.28,2.03
37.09,39.04,21.68,2.19
37.17,39.75,20.70,2.38
37.03,39.30,21.46,2.21
37.18,39.08,21.50,2.24
37.55,39.44,20.80,2.21
36.97,38.90,22.04,2.09
37.33,39.03,21.21,2.44
37.00,39.14,21.83,2.03
37.46,39.06,21.34,2.14
37.42,39.15,21.26,2.17
37.42,39.66,20.55,2.37
36.72,38.30,22.70,2.28
37.23,39.69,20.88,2.20
36.96,38.35,22.46,2.23
37.72,39.32,20.61,2.35
35.95,37.59,23.95,2.51
37.38,39.72,20.75,2.16
36.77,38.34,22.45,2.44
37.23,40.05,20.68,2.04
36.70,38.37,22.48,2.45
37.32,39.10,21.29,2.29
36.92,38.89,21.92,2.28
36.80,38.44,22.60,2.17
36.56,38.30,22.58,2.56
37.00,38.59,21.53,2.88
36.67,38.55,22.40,2.37
36.60,39.61,21.38,2.41
37.39,38.70,21.52,2.39
36.99,38.36,22.33,2.33
37.04,38.94,21.49,2.52
36.94,38.41,22.31,2.33
37.24,38.16,22.05,2.55
36.64,38.67,22.41,2.28
37.38,38.29,21.95,2.38
37.64,39.25,20.80,2.32
37.09,39.75,21.17,1.98
36.83,37.73,23.04,2.39
36.49,38.60,22.60,2.32
36.65,38.28,22.79,2.29
36.62,38.68,22.49,2.20
36.84,38.31,22.52,2.33
33.88,34.17,29.53,2.42
36.45,37.75,23.63,2.17
36.79,38.01,22.80,2.40
35.75,36.62,25.01,2.62
36.90,39.12,21.62,2.36
36.51,38.47,22.50,2.52
37.26,38.13,22.30,2.30
36.68,38.25,22.78,2.29
36.84,38.54,22.23,2.39
36.43,37.51,23.73,2.33
37.05,38.97,21.76,2.22
36.59,37.91,23.18,2.32
36.95,37.89,22.93,2.23
36.59,37.93,23.05,2.44
36.18,36.81,24.53,2.49
36.65,38.71,22.19,2.45
35.99,38.74,23.14,2.13
36.31,38.11,23.28,2.30
36.37,37.56,23.64,2.42
36.36,37.85,23.33,2.46
35.91,36.67,24.86,2.56
36.27,37.47,23.90,2.36
36.31,37.71,23.52,2.46
36.22,38.33,23.02,2.43
35.77,37.69,24.27,2.27
35.91,37.90,23.82,2.36
35.65,36.69,24.99,2.68
36.47,37.72,23.52,2.30
35.91,37.92,23.91,2.26
36.59,37.44,23.32,2.65
36.70,39.01,22.11,2.18
36.61,38.09,22.96,2.34
36.27,37.09,24.30,2.35
35.95,37.46,24.13,2.46
35.87,37.23,24.49,2.41
36.28,37.31,24.12,2.29
35.50,37.35,24.87,2.27
36.38,37.18,24.06,2.39
36.35,37.48,23.66,2.51
35.82,37.17,24.61,2.41
35.39,37.76,24.47,2.38
34.96,37.02,25.47,2.56
35.81,37.40,24.17,2.62
35.23,36.31,25.95,2.51
35.67,36.57,25.18,2.57
35.54,37.93,24.20,2.33
34.85,35.64,27.03,2.48
34.64,36.16,26.70,2.50
36.50,37.26,23.77,2.46
35.85,36.84,24.69,2.61
35.66,36.73,24.95,2.66
35.89,36.84,24.93,2.34
35.87,36.17,25.39,2.57
36.06,36.14,25.24,2.57
33.57,34.16,29.91,2.36
35.56,37.07,24.91,2.46
34.81,34.69,27.76,2.74
34.65,35.41,27.35,2.58
35.85,36.36,25.06,2.73
34.95,36.34,26.26,2.45
35.54,37.44,24.68,2.34
35.27,37.23,25.27,2.24
35.36,36.29,25.71,2.64
33.80,33.89,29.64,2.66
35.25,36.13,26.10,2.53
35.68,37.25,24.77,2.30
35.82,37.55,24.23,2.40
35.57,36.96,25.10,2.37
35.20,36.23,25.83,2.74
34.53,35.16,27.56,2.75
35.43,36.70,25.36,2.51
35.95,36.70,24.78,2.56
35.17,35.99,26.14,2.71
35.17,36.27,25.83,2.73
34.93,36.07,26.45,2.55
34.73,35.42,27.27,2.57
35.15,36.69,25.67,2.49
35.63,35.23,26.44,2.69
34.58,35.70,27.38,2.34
35.11,35.11,27.27,2.51
34.66,35.82,26.80,2.72
34.95,35.69,26.87,2.49
35.37,37.24,25.10,2.30
34.39,36.30,26.49,2.83
35.06,36.47,25.97,2.50
34.63,35.41,27.27,2.69
33.97,35.08,28.40,2.55
34.55,34.98,27.85,2.62
35.40,35.65,26.30,2.65
35.41,36.95,25.29,2.35
35.00,36.43,25.99,2.59
35.77,36.10,25.53,2.60
34.78,34.79,27.51,2.93
34.89,35.38,27.12,2.61
34.54,35.01,27.80,2.66
31.33,30.83,35.47,2.37
34.66,35.50,27.13,2.71
34.83,34.58,27.73,2.85
34.46,35.21,27.77,2.56
34.29,34.30,28.61,2.79
34.17,34.33,28.89,2.61
34.32,34.96,27.96,2.77
34.37,35.19,27.88,2.56
34.38,34.96,27.98,2.68
34.47,34.66,28.18,2.69
34.47,37.48,25.53,2.52
34.44,35.68,27.28,2.60
34.34,34.98,28.04,2.64
34.15,34.28,28.73,2.83
33.91,34.99,28.57,2.54
33.96,33.91,29.27,2.86
34.50,34.00,28.79,2.71
34.51,34.74,28.09,2.65
33.67,34.77,28.93,2.63
33.82,33.63,29.76,2.79
33.83,34.66,28.72,2.79
33.97,34.75,28.79,2.50
34.17,35.00,28.14,2.68
33.68,33.49,30.07,2.76
33.51,33.77,29.97,2.74
33.51,33.18,30.63,2.69
33.52,32.91,30.92,2.65
34.11,34.32,29.01,2.56
33.63,33.88,29.64,2.85
33.87,34.62,28.86,2.65
32.97,32.86,31.38,2.78
33.80,33.57,29.96,2.67
33.72,33.86,29.59,2.83
33.48,34.00,29.66,2.85
33.52,33.36,30.41,2.70
33.65,34.17,29.49,2.69
33.60,33.86,29.71,2.82
33.76,33.88,29.60,2.76
33.17,33.76,30.48,2.60
33.31,32.80,31.08,2.81
33.25,33.25,30.79,2.71
32.78,32.56,31.75,2.90
33.27,32.92,30.94,2.87
33.12,32.62,31.38,2.89
32.84,32.41,31.95,2.80
33.17,33.21,30.85,2.76
32.65,32.02,32.59,2.74
32.66,32.50,32.17,2.67
32.68,32.35,32.31,2.66
32.75,32.53,31.75,2.98
32.67,32.19,32.19,2.94
31.79,31.47,34.03,2.71
33.23,32.87,31.28,2.61
33.03,34.81,29.59,2.57
32.84,32.52,31.92,2.72
32.80,32.69,31.74,2.77
33.50,33.19,30.37,2.94
33.25,32.07,31.85,2.83
31.28,30.69,35.23,2.81
31.30,30.69,34.97,3.03
31.74,30.44,35.05,2.77
31.53,30.32,35.32,2.84
32.41,31.51,33.19,2.89
31.91,30.38,35.01,2.70
32.01,31.07,34.19,2.74
32.06,31.27,33.99,2.68
31.99,31.24,34.00,2.77
31.95,30.35,34.92,2.78
31.87,30.49,34.70,2.94
32.06,30.95,34.10,2.89
32.15,30.99,34.10,2.75
31.63,30.53,34.92,2.91
30.72,29.65,36.97,2.65
32.26,31.26,33.72,2.77
31.96,30.82,34.50,2.72
32.13,30.75,34.28,2.84
32.29,31.27,33.59,2.84
30.98,29.75,36.42,2.85
29.91,28.45,38.51,3.14
31.04,30.09,36.09,2.78
31.44,29.49,36.33,2.73
31.50,29.89,35.91,2.70
31.66,29.54,35.95,2.85
30.96,28.61,37.69,2.74
31.20,30.25,35.85,2.70
30.89,29.26,37.10,2.76
31.10,30.05,36.13,2.71
31.05,29.20,37.02,2.74
31.22,29.30,36.65,2.83
31.17,29.55,36.52,2.77
31.26,29.34,36.58,2.82
31.17,29.74,36.30,2.79
30.89,29.10,37.14,2.87
31.15,29.30,36.73,2.81
30.89,29.37,36.92,2.83
31.17,29.21,36.84,2.77
31.47,29.25,36.47,2.81
30.94,28.71,37.44,2.91
30.33,28.05,38.74,2.88
30.24,28.27,38.53,2.95
30.68,28.71,37.76,2.85
30.07,27.86,39.12,2.96
29.74,27.55,39.84,2.87
29.81,27.72,39.62,2.85
29.94,28.35,38.87,2.85
30.25,28.20,38.82,2.73
30.59,28.07,38.53,2.80
30.13,27.80,39.15,2.93
29.75,27.30,40.02,2.93
30.06,27.68,39.33,2.93
29.94,28.18,38.93,2.95
30.01,27.65,39.49,2.84
30.03,27.39,39.68,2.90
29.93,27.46,39.71,2.90
29.72,27.22,40.10,2.96
30.43,27.57,39.17,2.84
29.91,27.46,39.71,2.92
30.03,27.86,39.26,2.85
29.86,27.25,40.01,2.89
29.83,27.29,40.00,2.89
29.78,27.23,40.06,2.93
30.06,27.89,38.99,3.06
30.05,27.96,38.99,3.00
29.74,27.65,39.73,2.87
30.16,28.01,38.90,2.93
30.08,27.81,39.22,2.89
30.02,27.47,39.59,2.92
29.83,27.86,39.48,2.82
30.02,27.83,39.21,2.94
30.12,27.71,39.27,2.90
30.43,27.71,38.94,2.92
29.91,27.72,39.36,3.01
29.79,28.22,39.20,2.79
29.86,28.12,38.79,3.23
30.50,29.13,37.56,2.81
29.63,27.39,39.96,3.01
29.68,27.60,39.86,2.86
29.93,27.49,39.66,2.92
29.91,27.90,39.34,2.84
29.78,27.56,39.81,2.85
29.96,27.45,39.61,2.98
29.88,28.69,38.56,2.87
29.62,28.10,39.26,3.02
29.89,27.60,39.63,2.88
30.01,27.51,39.53,2.95
30.03,27.54,39.53,2.91
30.11,27.81,39.11,2.96
29.95,27.43,39.74,2.87
29.56,27.34,40.21,2.89
30.66,29.06,37.45,2.83
30.34,27.45,39.34,2.87
29.92,28.13,39.06,2.89
29.95,27.69,39.48,2.88
30.03,27.51,39.62,2.84
29.99,27.94,39.12,2.94
30.08,27.63,39.44,2.85
29.81,27.38,39.97,2.85
29.97,27.30,39.86,2.87
30.22,28.12,38.77,2.89
29.72,27.46,39.92,2.89
29.83,27.22,40.02,2.93
29.95,27.63,39.57,2.84
30.16,27.66,39.33,2.85
30.06,27.70,39.33,2.92
30.10,27.94,38.98,2.98
29.86,27.22,39.88,3.05
30.28,27.97,38.76,2.99
29.98,27.32,39.76,2.94
29.97,27.28,39.84,2.91
30.20,28.06,38.79,2.95
30.47,27.91,38.69,2.93
30.03,27.65,39.45,2.87
30.10,27.46,39.54,2.90
30.36,28.64,38.03,2.98
29.85,28.12,39.03,3.00
30.11,27.73,39.09,3.07
30.01,27.92,39.02,3.04
29.78,27.25,39.88,3.09
29.58,27.20,40.24,2.98
30.09,27.63,39.40,2.88
30.00,27.55,39.44,3.01
29.92,27.59,39.50,2.99
29.85,27.29,39.97,2.89
30.07,27.62,39.44,2.87
29.82,28.35,38.97,2.86
29.31,28.28,39.48,2.94
30.49,27.51,39.09,2.91
29.91,27.69,39.54,2.86
30.04,27.37,39.77,2.83
30.31,27.43,39.33,2.92
30.55,28.67,37.79,2.99
30.06,28.07,38.92,2.95
30.01,27.37,39.73,2.89
30.02,27.63,39.40,2.95
30.11,27.76,39.03,3.10
29.85,28.19,38.95,3.01
30.07,27.92,39.18,2.83
29.95,27.91,39.34,2.81
29.97,27.77,39.34,2.92
29.94,27.83,39.32,2.91
30.18,27.57,39.38,2.86
30.04,28.10,38.87,3.00
30.16,27.55,39.36,2.93
30.39,27.79,38.94,2.88
29.71,27.60,39.60,3.09
29.90,27.59,39.61,2.90
30.30,27.45,39.39,2.86
30.17,27.64,39.29,2.90
30.14,27.56,39.37,2.93
30.38,28.03,38.57,3.02
30.07,27.39,39.58,2.96
29.36,26.99,40.76,2.89
29.36,26.32,41.47,2.85
29.29,26.84,40.80,3.07
29.22,26.30,41.56,2.92
29.29,26.19,41.69,2.84
29.32,26.36,41.43,2.89
29.34,26.66,41.08,2.92
29.48,27.32,40.31,2.88
29.16,26.55,41.40,2.89
29.37,27.14,40.43,3.05
28.93,26.36,41.73,2.98
29.16,26.15,41.88,2.81
29.05,26.25,41.86,2.84
29.12,26.04,42.01,2.83
29.03,26.24,41.86,2.87
29.34,25.96,41.73,2.97
28.75,25.40,42.89,2.96
28.81,25.98,42.43,2.78
29.20,25.52,42.44,2.84
29.14,26.77,41.06,3.03
28.31,25.45,43.14,3.09
27.81,24.23,45.09,2.87
27.96,24.57,44.21,3.26
28.10,24.86,44.27,2.77
28.11,25.27,43.61,3.01
27.94,25.17,43.68,3.22
27.92,23.96,44.96,3.15
27.47,23.63,45.68,3.22
27.58,23.34,46.10,2.98
27.41,23.57,46.01,3.00
27.39,23.68,45.69,3.23
27.31,23.54,46.26,2.89
27.38,23.38,46.33,2.92
27.25,23.41,46.45,2.89
27.21,23.44,46.41,2.94
27.37,23.51,46.07,3.05
27.28,23.32,46.53,2.87
27.42,23.40,46.07,3.11
27.52,23.12,46.38,2.98
27.76,23.34,45.81,3.09
27.33,23.40,46.39,2.88
27.42,23.33,46.20,3.05
27.74,23.90,45.33,3.03
27.44,23.55,45.96,3.05
27.40,23.60,45.91,3.09
27.29,23.37,46.41,2.93
27.46,23.47,46.10,2.97
27.40,23.67,45.83,3.10
27.43,23.46,45.75,3.36
27.36,23.49,46.29,2.86
27.57,23.44,45.86,3.13
27.37,23.58,45.96,3.09
27.39,23.68,45.77,3.16
27.51,23.76,45.52,3.21
27.44,23.49,46.13,2.94
27.57,23.58,45.62,3.23
27.49,23.66,45.54,3.30
27.63,23.48,45.42,3.47
27.29,23.48,46.11,3.12
27.50,23.16,46.25,3.09
27.28,23.63,46.18,2.91
27.35,23.42,46.15,3.08
27.40,23.67,45.69,3.24
27.48,23.19,46.17,3.15
27.47,23.48,45.92,3.12
27.43,23.52,45.92,3.13
27.57,23.44,45.64,3.34
27.56,23.78,45.49,3.17
27.40,23.52,46.02,3.05
27.65,23.43,45.55,3.36
27.29,23.40,46.03,3.28
27.38,23.50,46.15,2.96
27.46,23.35,46.21,2.99
27.55,24.39,44.90,3.16
27.45,23.30,46.03,3.22
27.33,23.35,46.37,2.95
27.40,23.48,46.08,3.04
27.37,23.45,46.14,3.04
27.28,23.46,46.14,3.12
27.20,23.45,46.36,2.98
27.58,23.61,45.88,2.94
27.59,23.34,45.98,3.09
27.38,23.32,46.22,3.08
27.49,23.27,46.29,2.96
27.46,23.48,46.21,2.84
27.65,23.28,46.11,2.95
27.42,23.41,46.11,3.06
27.36,23.22,46.07,3.36
27.43,23.43,46.19,2.95
27.46,23.46,45.91,3.17
27.33,23.36,46.36,2.95
27.60,23.20,45.97,3.24
27.60,23.20,46.07,3.13
27.38,23.35,46.32,2.95
27.29,23.45,46.19,3.07
27.41,23.59,45.97,3.03
27.27,23.42,46.32,3.00
27.24,23.21,46.49,3.06
27.73,23.33,45.93,3.01
27.19,23.51,46.14,3.16
27.43,23.37,46.30,2.91
27.37,23.47,46.18,2.98
27.43,23.40,46.13,3.03
27.59,23.38,45.75,3.28
27.42,23.41,46.02,3.15
27.27,23.35,46.28,3.11
27.29,23.58,46.08,3.05
27.49,23.46,46.08,2.96
27.30,23.50,45.98,3.22
27.50,23.39,46.08,3.03
27.30,23.27,46.44,3.00
27.36,23.38,46.28,2.98
27.50,23.24,46.22,3.04
27.64,24.39,44.88,3.09
27.68,23.29,46.01,3.02
27.47,23.18,46.26,3.08
27.27,23.29,46.33,3.11
27.35,23.49,46.01,3.15
27.38,23.32,46.32,2.98
27.36,23.40,46.36,2.88
27.47,23.81,45.54,3.18
27.47,23.60,45.69,3.24
27.44,23.37,45.87,3.32
27.40,23.46,45.81,3.33
27.42,23.27,46.35,2.97
27.58,22.97,46.47,2.98
27.54,23.13,46.14,3.19
27.54,23.44,45.71,3.31
27.45,23.53,45.86,3.15
27.54,23.48,45.83,3.15
27.54,23.45,45.79,3.22
27.90,24.87,44.08,3.14
27.39,23.67,45.83,3.11
27.30,23.63,45.87,3.21
27.38,23.61,45.78,3.23
27.49,23.33,46.14,3.04
27.48,23.45,46.10,2.97
27.62,24.09,45.18,3.12
27.50,23.48,46.07,2.96
27.47,23.35,46.11,3.07
27.51,23.31,46.17,3.02
27.29,23.73,45.66,3.32
27.48,23.17,46.13,3.22
27.53,23.98,45.68,2.81
27.56,23.15,46.05,3.24
27.31,23.35,46.32,3.02
27.44,23.20,46.29,3.07
27.50,23.30,45.94,3.25
27.31,23.36,46.12,3.21
27.51,23.34,46.20,2.95
27.37,23.47,45.94,3.22
27.39,23.19,46.37,3.04
27.18,23.42,46.41,2.98
27.28,23.29,46.29,3.15
27.35,23.28,46.11,3.25
27.38,23.20,46.10,3.32
27.29,23.23,46.46,3.03
27.51,23.28,45.89,3.32
27.46,23.28,46.13,3.13
27.43,23.32,46.22,3.04
27.66,23.24,45.99,3.11
27.37,23.33,46.20,3.11
27.54,23.47,45.85,3.14
27.37,23.41,46.25,2.97
27.34,23.50,45.97,3.19
27.49,23.33,46.12,3.07
27.58,23.38,45.83,3.22
27.56,23.37,45.87,3.20
27.41,23.43,46.06,3.09
27.41,23.29,46.38,2.93
27.53,23.25,46.21,3.01
27.58,23.34,45.95,3.14
27.48,23.26,46.12,3.13
27.69,24.60,44.30,3.41
27.35,23.30,46.16,3.20
27.20,23.34,46.32,3.13
27.66,23.43,45.63,3.28
27.57,23.04,46.30,3.09
27.51,23.34,46.16,2.99
27.43,23.42,45.93,3.22
27.33,23.35,45.97,3.35
27.43,23.10,46.38,3.08
27.64,23.27,46.01,3.07
27.53,23.28,46.14,3.05
27.50,23.53,45.91,3.07
27.48,23.49,45.86,3.18
27.29,23.37,46.47,2.87
27.56,23.21,46.16,3.07
27.62,23.18,46.24,2.96
27.79,23.40,45.32,3.48
27.58,23.56,45.57,3.29
27.69,23.48,45.45,3.38
27.40,23.50,46.24,2.86
27.34,23.39,46.43,2.84
27.31,23.34,46.44,2.91
27.52,23.42,46.03,3.02
28.02,25.96,42.96,3.06
27.59,23.34,46.04,3.03
27.50,23.57,45.69,3.23
27.63,23.77,45.23,3.36
27.28,23.67,45.97,3.08
27.65,24.16,45.21,2.98
27.31,23.34,46.13,3.22
27.36,23.32,46.22,3.11
27.30,23.33,46.11,3.26
27.30,23.51,46.13,3.06
27.37,23.52,45.96,3.14
27.76,24.17,45.11,2.96
27.36,23.29,46.27,3.08
27.23,23.34,46.32,3.10
27.49,23.45,45.94,3.12
27.75,23.27,45.61,3.37
27.44,23.29,46.16,3.11
27.24,23.23,46.49,3.04
27.37,23.34,46.42,2.87
27.28,23.24,46.29,3.19
27.52,23.53,45.94,3.01
27.50,23.32,46.14,3.04
27.63,23.69,45.88,2.80
27.40,23.39,46.17,3.04
27.47,23.49,45.69,3.36
27.54,23.52,45.83,3.11
27.71,24.53,44.75,3.02
27.41,23.42,46.04,3.13
27.64,23.44,45.51,3.40
27.39,23.44,45.79,3.38
27.45,23.59,45.88,3.08
27.49,23.32,46.21,2.98
27.66,23.45,45.84,3.04
27.62,23.57,45.25,3.56
27.52,23.39,45.86,3.24
27.43,23.60,45.94,3.03
27.26,23.35,46.27,3.12
27.43,23.27,46.18,3.13
27.51,23.37,45.67,3.45
27.31,23.41,46.26,3.02
27.45,23.24,46.20,3.11
27.61,23.39,46.00,3.00
27.56,23.40,45.77,3.27
27.50,23.25,46.09,3.17
27.65,23.91,45.51,2.93
27.58,23.42,45.62,3.38
27.41,23.41,46.10,3.08
27.58,23.31,45.94,3.18
27.60,23.74,45.63,3.02
27.51,23.39,45.83,3.27
27.22,23.39,46.38,3.01
27.31,23.43,46.24,3.02
27.51,23.29,46.15,3.06
27.54,23.40,45.79,3.27
27.59,23.31,45.95,3.15
