%user,%system,%iowait,%idle
27.44,23.31,46.18,3.06
27.90,23.71,45.32,3.06
27.32,23.35,46.39,2.94
27.33,23.35,46.48,2.84
27.53,24.00,45.33,3.14
27.44,23.47,46.02,3.08
27.70,23.79,45.44,3.06
27.40,23.32,46.00,3.27
27.41,23.11,46.39,3.09
27.48,23.24,46.15,3.12
27.58,23.42,45.50,3.50
27.61,23.40,45.36,3.63
27.34,23.33,46.09,3.24
27.48,23.20,46.28,3.04
27.56,23.21,46.03,3.21
27.71,24.24,44.86,3.19
27.42,23.36,46.03,3.19
27.57,23.50,45.77,3.16
27.64,23.51,45.33,3.51
27.57,23.44,45.70,3.30
27.38,23.19,46.19,3.25
27.43,23.27,46.26,3.04
27.20,23.42,46.42,2.96
27.80,24.47,44.58,3.15
27.19,23.46,46.42,2.93
27.45,23.41,46.11,3.03
27.46,23.16,46.30,3.08
27.47,23.17,46.19,3.17
27.40,23.37,45.98,3.25
27.41,23.69,45.82,3.08
27.77,24.43,44.89,2.91
27.24,23.35,46.30,3.11
27.49,23.08,46.48,2.95
27.52,23.35,46.04,3.09
27.37,23.67,46.03,2.92
27.39,23.45,46.19,2.97
27.45,23.36,46.11,3.08
27.53,23.04,46.64,2.80
27.28,23.43,46.23,3.05
27.68,24.67,44.70,2.95
27.58,23.23,45.95,3.24
27.52,23.29,46.09,3.11
27.38,23.21,46.21,3.19
27.35,23.37,46.14,3.14
27.41,23.05,46.42,3.11
27.45,23.15,46.45,2.96
27.72,22.97,46.16,3.14
27.66,23.36,45.96,3.02
27.51,23.34,46.01,3.13
27.53,23.74,45.61,3.12
27.39,23.47,45.89,3.24
27.42,23.27,46.36,2.95
27.39,23.17,46.33,3.11
27.36,23.32,46.33,2.99
27.24,23.24,46.42,3.10
27.41,23.46,45.91,3.22
27.36,23.37,45.96,3.31
27.22,23.48,46.25,3.05
27.38,23.21,46.41,3.00
27.64,23.25,46.24,2.87
27.71,24.15,45.24,2.91
27.43,23.74,45.69,3.14
27.64,23.09,46.11,3.16
27.54,23.38,45.76,3.32
27.53,23.75,45.49,3.22
27.56,23.21,46.25,2.97
27.43,24.01,45.52,3.04
27.52,23.32,46.10,3.05
27.65,23.19,45.83,3.33
27.56,23.30,45.97,3.17
27.28,23.33,46.32,3.06
27.55,23.13,46.25,3.07
27.79,23.10,45.99,3.12
27.56,23.26,46.12,3.06
27.48,23.30,46.11,3.11
27.52,23.40,45.77,3.31
27.39,23.42,46.20,2.99
27.79,23.14,45.90,3.17
27.40,23.37,46.14,3.09
27.54,23.28,46.08,3.10
27.51,23.18,46.20,3.11
27.24,23.43,46.22,3.10
27.44,23.31,45.92,3.34
27.36,23.12,46.56,2.97
27.38,23.36,46.22,3.03
27.47,23.03,46.53,2.97
27.29,23.31,46.59,2.81
27.55,22.90,46.19,3.36
27.30,23.22,46.44,3.04
27.34,23.21,46.51,2.95
27.50,23.18,46.32,2.99
27.96,25.25,43.67,3.12
27.90,24.76,44.38,2.95
27.42,23.28,46.18,3.12
27.27,23.20,46.44,3.10
27.43,23.19,46.46,2.93
27.62,23.70,45.55,3.13
27.64,24.52,44.66,3.19
27.79,24.64,44.52,3.05
27.44,23.43,45.96,3.18
27.36,23.23,46.19,3.22
27.48,23.32,45.74,3.46
27.26,23.21,46.60,2.92
27.88,24.24,45.03,2.85
28.20,25.06,43.58,3.16
28.12,25.29,43.52,3.07
27.35,23.45,45.99,3.21
27.47,23.34,45.92,3.27
27.57,24.43,44.92,3.08
27.62,22.96,46.06,3.37
27.43,23.20,46.34,3.03
27.35,23.47,45.83,3.35
27.72,24.24,45.09,2.95
27.16,23.39,46.47,2.98
27.17,23.19,46.57,3.07
27.38,23.04,46.43,3.14
27.77,24.08,45.01,3.14
27.33,23.12,46.47,3.07
27.28,23.14,46.49,3.10
27.46,23.26,45.98,3.29
27.27,23.18,46.57,2.97
27.61,24.54,44.81,3.04
27.26,23.19,46.33,3.22
27.42,23.19,46.25,3.14
27.38,23.13,46.61,2.88
27.61,23.21,45.92,3.26
27.31,23.15,46.29,3.25
27.40,23.25,45.71,3.64
27.30,23.41,45.95,3.34
27.15,23.23,46.39,3.23
27.55,23.39,46.04,3.02
27.40,23.18,46.27,3.16
27.39,23.38,45.93,3.30
27.54,23.76,45.41,3.29
27.56,23.40,45.84,3.20
27.48,23.57,45.67,3.29
27.40,22.98,46.57,3.05
27.45,23.15,46.22,3.18
27.47,23.04,46.34,3.15
27.15,23.06,46.81,2.98
27.22,22.98,46.82,2.99
27.20,23.20,46.51,3.09
27.27,23.03,46.61,3.09
27.51,23.14,46.08,3.26
27.32,23.14,46.50,3.05
27.59,23.65,45.60,3.16
27.76,23.93,45.10,3.21
27.42,23.34,46.29,2.96
27.50,23.12,46.33,3.06
27.51,23.12,46.43,2.94
27.48,23.02,46.36,3.14
27.69,24.47,44.84,3.00
27.47,23.58,45.82,3.13
27.19,23.21,46.45,3.16
27.23,23.22,46.09,3.46
27.42,23.15,46.35,3.08
27.15,23.26,46.65,2.94
27.36,23.14,46.30,3.20
27.45,23.36,46.07,3.13
27.43,23.79,45.82,2.96
27.38,23.80,45.74,3.07
27.55,23.64,45.78,3.03
27.16,23.30,46.47,3.07
27.25,23.35,46.20,3.19
27.23,23.42,46.27,3.08
27.33,23.17,46.41,3.09
27.27,23.08,46.31,3.33
27.41,23.28,46.36,2.95
27.31,23.38,46.19,3.12
27.43,23.26,46.10,3.21
27.12,23.01,46.84,3.03
27.24,23.10,46.55,3.11
27.47,22.98,46.45,3.10
27.38,23.05,46.34,3.23
27.37,23.33,46.34,2.95
27.25,23.13,46.68,2.94
27.46,23.43,46.03,3.08
27.36,23.29,46.19,3.16
27.29,23.13,46.15,3.43
27.40,23.64,45.68,3.29
27.21,23.05,46.68,3.06
27.37,23.22,46.33,3.08
27.26,23.36,46.31,3.07
27.42,23.08,46.49,3.01
27.18,23.20,46.75,2.87
27.32,22.90,46.72,3.06
27.28,23.27,46.52,2.93
27.27,23.14,46.57,3.02
27.25,23.33,46.29,3.13
27.36,23.30,46.04,3.30
27.23,23.28,46.17,3.31
27.34,23.10,46.45,3.11
27.43,23.06,46.38,3.12
27.33,22.99,46.49,3.19
27.53,22.96,46.37,3.14
27.22,23.04,46.66,3.09
27.39,22.99,46.54,3.08
27.52,22.98,46.44,3.06
27.45,23.34,45.75,3.46
27.52,23.12,46.14,3.22
27.34,23.07,46.59,3.01
27.11,22.88,47.00,3.01
27.30,22.95,46.81,2.93
27.20,23.04,46.77,2.98
27.56,23.15,46.11,3.18
27.37,23.06,46.45,3.13
27.30,22.89,46.80,3.01
27.38,23.27,46.28,3.07
27.43,23.13,46.24,3.21
27.73,24.10,45.00,3.17
27.38,23.01,46.67,2.94
27.24,23.01,46.72,3.02
27.34,22.94,46.74,2.98
27.39,23.02,46.52,3.07
27.45,23.46,46.03,3.06
27.22,23.24,46.36,3.19
27.21,23.23,46.61,2.95
27.10,23.03,46.71,3.17
27.31,23.02,46.65,3.02
27.46,22.85,46.73,2.96
27.43,23.13,46.42,3.02
27.32,23.07,46.48,3.13
27.35,23.01,46.55,3.09
27.55,23.06,46.37,3.03
27.40,23.26,46.46,2.88
27.23,23.31,46.44,3.03
27.17,23.13,46.80,2.90
27.28,23.16,46.76,2.80
27.29,23.05,46.61,3.05
27.45,22.96,46.54,3.05
27.38,22.95,46.82,2.84
27.30,22.85,46.86,2.99
27.34,22.67,47.03,2.96
27.35,22.88,46.86,2.91
27.28,22.80,46.77,3.15
27.41,23.37,46.05,3.16
27.19,23.00,46.70,3.11
27.26,23.00,46.75,2.98
27.15,22.97,46.91,2.97
27.38,23.15,46.30,3.16
27.30,23.08,46.45,3.18
27.44,23.06,46.42,3.08
27.60,23.64,45.69,3.07
27.39,23.06,46.66,2.89
27.22,23.06,46.84,2.89
27.18,23.08,46.61,3.12
27.07,23.08,46.81,3.04
27.27,22.90,46.93,2.90
27.30,23.09,46.44,3.18
27.45,22.91,46.76,2.87
27.20,22.95,46.86,2.99
27.25,23.31,46.38,3.06
27.12,23.17,46.75,2.95
27.18,23.13,46.41,3.28
27.26,23.20,46.31,3.23
27.26,23.24,46.54,2.96
27.26,23.09,46.74,2.92
27.30,23.22,46.33,3.15
27.29,22.88,46.93,2.90
27.28,23.15,46.39,3.18
27.21,23.07,46.65,3.08
27.36,22.95,46.71,2.98
27.30,22.84,46.96,2.91
27.26,23.14,46.48,3.11
27.41,23.28,46.39,2.91
27.57,23.91,45.55,2.96
27.71,24.33,44.94,3.02
27.31,23.29,46.12,3.28
27.40,23.14,46.24,3.22
27.29,23.08,46.85,2.78
27.44,23.07,46.41,3.08
27.14,23.17,46.73,2.96
27.37,23.11,46.58,2.94
27.18,23.14,46.73,2.95
27.02,23.05,46.98,2.96
27.21,23.10,46.73,2.97
27.17,23.05,46.71,3.07
27.39,23.09,46.48,3.03
27.35,22.93,46.62,3.10
27.25,23.11,46.59,3.05
27.12,23.36,46.70,2.83
27.34,23.16,46.45,3.05
27.38,23.04,46.63,2.95
27.16,22.91,46.62,3.31
27.29,23.13,46.62,2.96
27.31,23.16,46.51,3.02
27.26,23.17,46.44,3.13
27.14,23.14,46.83,2.89
27.10,22.94,47.11,2.86
27.12,23.20,46.79,2.88
27.21,23.23,46.39,3.16
27.16,22.97,46.79,3.08
27.33,23.18,46.48,3.01
27.46,23.65,45.89,3.00
27.54,24.07,45.46,2.93
27.11,23.32,46.55,3.02
27.23,23.13,46.46,3.19
27.32,23.12,46.43,3.13
27.32,22.94,46.70,3.04
27.21,22.98,46.90,2.91
27.28,23.10,46.67,2.95
27.32,23.02,46.62,3.04
27.40,23.08,46.59,2.94
27.19,22.94,46.86,3.01
27.26,22.96,46.75,3.04
27.24,22.82,46.86,3.08
27.38,23.01,46.49,3.12
27.57,23.32,45.82,3.28
27.35,23.03,46.47,3.16
27.46,23.25,46.26,3.03
27.30,23.09,46.61,3.00
27.41,23.01,46.61,2.98
27.50,23.05,46.47,2.98
27.48,23.67,45.82,3.03
27.32,23.65,46.00,3.02
27.22,23.18,46.60,3.01
27.31,23.05,46.73,2.92
27.60,23.17,45.92,3.31
27.33,23.23,46.35,3.09
27.45,23.11,46.53,2.90
27.25,23.12,46.65,2.98
27.21,23.34,46.51,2.94
27.40,23.09,46.51,3.01
27.36,23.12,46.52,3.00
27.05,22.99,46.99,2.97
27.18,22.95,46.71,3.16
27.35,23.04,46.38,3.23
27.26,23.18,46.26,3.30
27.28,22.95,46.69,3.08
27.33,22.95,46.68,3.04
27.40,22.98,46.76,2.86
27.39,22.94,46.69,2.98
27.24,22.96,46.77,3.03
27.30,23.01,46.60,3.08
27.43,23.18,46.16,3.23
27.45,23.00,46.38,3.18
27.36,22.86,46.79,2.98
27.17,23.19,46.76,2.88
27.30,22.89,46.70,3.12
27.20,23.11,46.72,2.96
27.19,23.22,46.56,3.02
27.22,23.38,46.47,2.92
27.33,23.21,46.47,3.00
27.37,23.08,46.37,3.18
27.16,23.12,46.55,3.17
27.20,23.04,46.80,2.96
27.34,22.81,46.90,2.96
27.45,22.96,46.62,2.97
27.46,23.26,46.22,3.07
27.26,23.12,46.64,2.98
27.28,23.05,46.68,2.98
27.37,23.25,46.38,3.00
27.41,23.12,46.43,3.04
27.18,23.08,46.60,3.13
27.37,22.98,46.60,3.05
27.19,23.15,46.56,3.09
27.32,23.01,46.61,3.06
27.35,22.72,46.85,3.08
27.28,23.08,46.64,3.01
27.31,22.99,46.75,2.96
27.18,23.14,46.71,2.97
27.34,22.76,46.95,2.95
27.41,23.17,46.24,3.18
27.33,22.96,46.71,3.00
27.46,23.54,45.90,3.10
27.26,23.20,46.60,2.93
27.37,23.24,46.06,3.33
27.56,23.79,45.77,2.89
27.21,23.05,46.70,3.03
27.42,23.16,46.41,3.01
27.57,23.55,45.80,3.08
27.28,23.17,46.61,2.94
27.37,23.25,46.39,2.99
27.35,23.04,46.55,3.06
27.32,23.16,46.40,3.12
27.27,22.99,46.58,3.17
27.36,23.14,46.26,3.24
27.30,23.14,46.41,3.16
27.32,22.97,46.64,3.07
27.24,23.24,46.36,3.16
27.08,23.02,46.82,3.08
27.23,23.04,46.78,2.94
27.44,23.00,46.66,2.90
27.38,23.17,46.47,2.99
27.13,23.15,46.81,2.91
27.13,23.21,46.72,2.95
27.34,23.01,46.60,3.06
27.47,22.97,46.57,2.98
27.36,23.22,46.44,2.98
27.28,23.28,46.41,3.03
27.44,22.84,46.45,3.27
27.27,22.92,46.57,3.24
27.30,22.96,46.51,3.23
27.21,23.03,46.69,3.07
27.43,23.18,46.18,3.21
27.39,23.16,46.36,3.09
27.38,23.18,46.38,3.06
27.42,22.92,46.43,3.24
27.45,23.52,45.93,3.10
27.25,23.10,46.52,3.14
27.49,23.11,45.98,3.42
27.03,23.07,46.81,3.09
27.42,23.29,45.97,3.31
27.31,23.09,46.66,2.94
27.11,23.18,46.81,2.90
27.43,22.73,46.83,3.01
27.31,22.94,46.75,3.00
27.60,23.12,46.28,2.99
27.33,23.21,46.43,3.02
27.40,22.94,46.74,2.92
27.27,23.03,46.64,3.06
27.19,22.99,46.87,2.95
27.11,22.91,47.05,2.93
27.26,22.85,46.84,3.05
27.26,22.90,46.71,3.14
27.40,22.76,46.85,3.00
27.11,23.20,46.64,3.04
27.45,22.89,46.46,3.20
27.56,23.18,45.95,3.32
27.23,22.93,46.83,3.01
27.09,22.98,46.89,3.04
27.33,23.03,46.46,3.18
27.70,22.92,46.03,3.35
27.19,23.21,46.28,3.31
27.68,22.83,46.39,3.10
27.31,22.98,46.60,3.12
27.49,23.01,46.59,2.90
27.18,23.00,46.75,3.06
27.32,23.16,46.48,3.04
27.32,23.08,46.57,3.03
27.03,23.35,46.44,3.18
27.53,23.09,46.28,3.11
27.25,23.10,46.69,2.96
27.04,22.94,46.93,3.08
27.32,22.84,46.72,3.12
27.33,23.06,46.53,3.08
27.12,23.17,46.77,2.94
27.37,22.94,46.67,3.01
27.31,23.16,46.40,3.14
27.23,22.97,46.52,3.27
27.17,22.99,46.61,3.24
27.39,22.92,46.65,3.04
27.46,23.15,46.29,3.10
27.49,23.06,46.10,3.35
27.32,23.13,46.41,3.14
27.65,24.01,45.11,3.23
27.57,23.56,45.65,3.22
27.56,22.94,46.21,3.29
27.20,23.14,46.56,3.10
27.08,23.02,46.90,3.01
27.30,23.06,46.63,3.01
27.15,23.08,46.74,3.03
27.27,22.80,46.97,2.96
27.23,22.96,46.78,3.03
27.26,22.82,46.86,3.07
27.23,23.03,46.75,3.00
27.23,22.97,46.88,2.93
27.42,22.77,46.83,2.98
27.28,22.90,46.90,2.93
27.30,23.08,46.36,3.26
27.54,22.79,46.46,3.21
27.14,23.35,46.25,3.26
27.35,23.09,46.46,3.10
27.32,23.19,46.35,3.15
27.53,23.15,46.37,2.95
27.20,23.20,46.44,3.16
27.59,23.91,45.43,3.07
27.15,23.04,46.97,2.84
27.25,23.19,46.33,3.23
27.46,22.99,46.38,3.17
27.26,23.07,46.57,3.11
27.39,23.02,46.29,3.31
27.23,22.92,46.70,3.15
27.31,23.17,46.49,3.03
27.43,22.99,46.30,3.28
27.26,23.12,46.41,3.21
27.17,23.05,46.67,3.11
27.50,22.82,46.60,3.07
27.11,23.06,46.80,3.03
27.20,22.94,46.76,3.09
27.32,22.76,46.70,3.23
27.43,22.94,46.73,2.90
27.29,23.09,46.51,3.11
27.34,22.97,46.63,3.05
27.35,22.88,46.66,3.11
27.19,23.14,46.60,3.08
27.44,23.28,46.05,3.23
27.50,23.02,46.41,3.06
27.17,23.19,46.58,3.06
27.33,23.12,46.42,3.13
27.30,23.12,46.38,3.20
27.42,23.12,46.20,3.26
27.30,23.15,46.37,3.18
27.34,23.00,46.65,3.01
27.41,22.88,46.54,3.17
27.30,23.39,46.20,3.11
27.21,23.26,46.55,2.98
27.32,22.94,46.64,3.11
27.18,22.95,46.77,3.09
27.29,23.09,46.66,2.95
27.37,23.01,46.38,3.25
27.38,22.93,46.56,3.13
27.14,22.92,46.98,2.95
27.34,22.94,46.65,3.07
26.99,23.06,47.03,2.91
27.30,23.08,46.50,3.12
27.11,23.14,46.51,3.24
27.21,23.04,46.68,3.08
27.44,23.19,46.36,3.01
27.32,22.92,46.72,3.04
27.36,23.20,46.37,3.06
27.35,23.10,46.28,3.26
27.24,22.93,46.77,3.06
27.42,22.91,46.30,3.37
27.33,22.75,47.07,2.85
27.12,22.83,46.64,3.42
27.44,22.86,46.77,2.92
27.33,22.94,46.75,2.97
27.29,22.92,46.73,3.07
27.41,22.91,46.61,3.08
27.31,22.90,46.88,2.92
27.45,22.70,46.88,2.98
27.30,23.00,46.57,3.13
27.28,23.17,46.42,3.13
27.37,23.00,46.31,3.31
27.32,22.95,46.67,3.06
27.47,22.94,46.42,3.17
27.24,22.94,46.72,3.10
27.41,22.95,46.24,3.40
27.47,22.77,46.82,2.94
27.05,22.97,47.06,2.91
27.10,23.13,46.79,2.98
27.48,23.16,46.17,3.19
27.29,23.16,46.55,3.00
27.27,23.14,46.23,3.36
27.41,23.00,46.54,3.06
27.20,23.21,46.66,2.92
27.19,22.92,46.87,3.02
27.31,22.94,46.81,2.95
27.13,23.13,46.74,3.00
27.32,22.60,46.87,3.21
27.32,22.79,46.66,3.23
27.36,23.08,46.57,3.00
27.19,22.99,46.79,3.02
27.04,23.07,46.81,3.07
27.35,22.72,46.90,3.02
27.34,23.06,46.41,3.19
27.38,23.21,46.42,3.00
27.18,22.98,46.80,3.03
27.36,22.94,46.72,2.98
27.22,22.84,46.83,3.11
27.30,22.93,46.81,2.97
27.37,22.95,46.71,2.97
27.03,23.05,46.83,3.09
27.21,23.13,46.79,2.87
27.18,22.98,46.97,2.86
27.17,22.84,47.11,2.88
27.28,22.89,46.91,2.92
27.38,22.95,46.70,2.98
27.33,22.84,46.72,3.12
27.30,22.84,46.72,3.14
27.38,23.10,46.65,2.87
27.26,23.23,46.57,2.94
27.24,23.10,46.76,2.90
27.39,22.91,46.67,3.03
27.37,23.03,46.65,2.95
27.20,23.01,46.86,2.93
27.25,22.90,46.89,2.96
27.44,22.84,46.63,3.09
27.26,22.75,47.14,2.84
27.23,22.96,46.69,3.12
27.21,22.96,46.76,3.07
27.25,23.19,46.47,3.09
27.36,22.91,46.85,2.88
27.23,23.05,46.72,3.00
27.29,23.16,46.52,3.02
27.29,22.85,46.96,2.90
27.12,23.32,46.55,3.01
27.29,23.07,46.66,2.98
27.08,22.98,47.00,2.94
27.27,22.91,46.92,2.89
27.22,23.22,46.37,3.19
27.28,23.02,46.36,3.34
27.35,22.97,46.55,3.12
27.29,23.12,46.58,3.02
27.41,23.10,46.37,3.12
27.35,22.85,46.83,2.97
27.45,22.91,46.59,3.05
27.15,23.24,46.51,3.11
27.30,22.99,46.66,3.05
27.34,22.98,46.37,3.31
27.29,23.02,46.66,3.02
27.28,23.20,46.50,3.02
27.44,22.87,46.58,3.11
27.33,23.01,46.62,3.04
27.21,23.04,46.38,3.37
27.29,23.03,46.49,3.19
27.34,22.90,46.56,3.20
27.33,22.95,46.70,3.02
27.15,23.02,46.78,3.05
27.36,22.92,46.72,3.00
27.35,22.99,46.62,3.04
27.33,22.99,46.62,3.05
27.33,23.02,46.48,3.17
27.28,22.89,46.74,3.10
27.14,23.16,46.43,3.27
27.29,22.82,46.60,3.29
27.39,23.02,46.22,3.38
27.40,23.05,46.48,3.06
27.24,23.26,46.29,3.21
27.51,23.02,46.32,3.15
27.19,22.82,47.03,2.96
27.23,23.00,46.89,2.89
27.26,23.02,46.68,3.04
27.43,22.79,46.80,2.98
27.36,22.92,46.69,3.04
27.17,23.02,46.82,2.99
27.22,23.08,46.56,3.14
27.25,22.93,46.83,2.99
27.16,22.92,46.92,3.00
27.54,22.92,46.37,3.17
27.33,22.92,46.78,2.98
27.46,23.14,46.16,3.23
27.63,24.67,44.31,3.39
27.45,23.00,46.24,3.30
27.18,23.09,46.73,3.00
27.42,22.75,46.87,2.96
27.35,22.98,46.72,2.95
27.30,23.09,46.61,3.00
27.16,23.02,46.84,2.98
27.30,22.99,46.76,2.96
27.19,22.96,46.90,2.95
27.41,23.14,46.16,3.30
27.41,23.16,46.47,2.96
27.24,22.86,46.85,3.04
27.34,22.93,46.60,3.12
27.31,22.88,46.78,3.02
27.13,22.96,46.88,3.03
27.34,23.03,46.52,3.10
27.32,23.08,46.34,3.26
27.21,23.01,46.67,3.10
27.13,23.12,46.82,2.92
27.30,23.07,46.45,3.17
27.26,23.08,46.62,3.04
27.43,23.15,46.23,3.18
27.34,23.07,46.36,3.23
27.31,22.97,46.63,3.09
27.10,23.32,46.40,3.18
27.26,22.84,46.85,3.05
27.44,22.93,46.42,3.21
27.18,22.87,46.84,3.11
27.18,22.89,46.85,3.08
27.36,22.87,46.80,2.97
27.15,23.12,46.81,2.92
27.15,22.92,46.79,3.14
27.15,23.06,46.79,2.99
27.27,22.95,46.68,3.10
27.43,22.95,46.66,2.96
27.33,23.02,46.56,3.10
27.16,23.18,46.70,2.96
27.51,23.08,46.36,3.05
27.28,23.11,46.56,3.05
27.32,22.89,46.56,3.24
27.14,23.13,46.59,3.14
27.28,22.98,46.68,3.06
27.27,22.92,46.80,3.00
27.54,22.86,46.38,3.22
27.18,23.05,46.70,3.07
27.47,22.94,46.60,2.99
27.16,23.04,46.76,3.04
27.09,23.02,46.95,2.95
27.32,23.08,46.51,3.09
27.20,23.02,46.86,2.92
27.22,22.89,46.75,3.14
27.27,22.88,46.64,3.20
27.34,23.06,46.49,3.11
27.44,22.96,46.51,3.09
27.28,23.12,46.63,2.96
27.38,22.87,46.47,3.27
27.37,23.16,46.17,3.30
27.35,22.79,46.75,3.11
27.27,23.12,46.81,2.80
27.29,23.05,46.72,2.94
27.34,23.24,46.25,3.17
27.08,22.93,46.77,3.22
27.39,22.94,46.51,3.17
27.10,23.07,46.68,3.16
27.33,23.00,46.57,3.11
27.28,22.95,46.53,3.24
27.27,22.81,46.90,3.01
27.58,23.74,45.47,3.21
27.54,22.83,46.63,2.99
27.07,23.01,47.00,2.93
27.30,22.96,46.79,2.94
27.50,22.79,46.66,3.05
27.36,22.89,46.81,2.94
27.10,22.86,46.96,3.08
27.23,23.01,46.91,2.85
27.36,22.75,46.93,2.96
27.52,22.72,46.56,3.20
27.31,22.99,46.61,3.09
27.28,23.15,46.55,3.02
27.38,23.06,46.47,3.09
27.46,22.86,46.63,3.05
27.12,23.06,46.91,2.91
27.39,22.90,46.80,2.91
27.26,22.98,46.78,2.97
27.31,23.10,46.50,3.09
27.31,23.03,46.60,3.06
27.34,23.00,46.68,2.98
27.25,22.94,46.85,2.95
27.28,23.13,46.44,3.15
27.24,22.83,46.73,3.20
27.37,22.72,46.87,3.04
27.22,22.95,46.81,3.03
27.35,22.92,46.76,2.97
27.34,22.73,46.88,3.06
27.39,23.17,46.47,2.97
27.26,23.06,46.54,3.15
27.35,23.10,46.37,3.19
27.37,23.03,46.51,3.10
27.19,23.09,46.72,3.00
27.40,22.94,46.54,3.12
27.28,22.94,46.67,3.11
27.10,23.16,46.73,3.01
27.31,22.96,46.64,3.10
27.26,22.88,46.81,3.04
27.35,23.14,46.58,2.93
27.43,22.86,46.47,3.24
27.58,22.94,46.40,3.08
27.26,23.13,46.41,3.20
27.33,23.01,46.56,3.10
27.50,23.17,46.19,3.13
27.31,22.96,46.66,3.06
27.23,22.94,46.87,2.95
27.17,22.87,46.91,3.06
27.22,22.95,46.89,2.93
27.38,23.20,46.43,2.99
27.50,22.99,46.48,3.04
27.27,23.12,46.71,2.89
27.18,23.10,46.58,3.14
27.17,22.85,46.85,3.12
27.31,22.90,46.79,3.00
27.29,22.96,46.91,2.84
27.40,23.07,46.46,3.07
27.37,22.99,46.59,3.05
27.29,23.07,46.51,3.13
27.12,23.00,46.84,3.04
27.24,22.86,46.89,3.01
27.27,22.93,46.86,2.94
27.38,22.75,46.84,3.04
27.27,23.00,46.67,3.06
27.30,22.88,46.66,3.16
27.46,22.90,46.45,3.19
27.34,23.08,46.41,3.17
27.14,22.89,46.70,3.26
27.23,22.84,46.88,3.06
27.18,23.27,46.39,3.16
27.33,22.90,46.67,3.10
27.26,22.96,46.72,3.05
27.14,23.23,46.40,3.23
27.18,23.10,46.68,3.04
27.33,23.02,46.58,3.07
27.33,23.04,46.53,3.10
27.50,22.74,46.57,3.19
27.20,23.04,46.48,3.28
27.39,22.93,46.40,3.27
27.32,23.05,46.60,3.03
26.98,23.10,46.87,3.05
27.06,23.05,46.69,3.20
27.43,23.00,46.39,3.18
27.41,22.87,46.61,3.11
27.24,22.95,46.71,3.09
27.20,23.01,46.73,3.06
27.22,22.73,46.95,3.10
27.22,22.89,46.86,3.03
27.38,23.14,46.18,3.30
27.14,23.05,46.72,3.09
27.45,22.83,46.31,3.41
27.28,22.92,46.44,3.35
27.62,24.16,45.31,2.91
27.50,22.89,46.56,3.05
27.15,23.00,46.80,3.05
27.25,22.94,46.70,3.11
27.32,23.02,46.74,2.92
27.23,23.04,46.78,2.95
27.32,23.12,46.59,2.97
27.13,23.10,46.74,3.03
27.03,23.00,46.97,3.00
27.24,22.79,47.00,2.96
27.35,23.06,46.60,2.99
27.37,23.02,46.65,2.96
27.30,23.21,46.36,3.13
27.21,22.89,47.01,2.89
27.27,23.09,46.52,3.12
27.28,22.89,46.80,3.04
27.36,22.94,46.52,3.18
27.32,23.12,46.35,3.21
27.41,23.10,46.46,3.04
27.60,22.74,46.77,2.90
27.27,23.12,46.52,3.08
27.10,22.94,47.03,2.93
27.26,23.25,46.50,2.99
27.25,23.09,46.58,3.08
27.27,23.07,46.45,3.21
27.28,23.00,46.61,3.11
27.25,23.07,46.56,3.12
27.24,23.00,46.78,2.98
27.40,22.95,46.57,3.08
27.30,22.94,46.44,3.31
27.28,22.92,46.76,3.04
27.17,23.16,46.74,2.93
27.47,23.57,46.07,2.89
27.20,23.07,46.69,3.04
27.30,22.99,46.70,3.01
27.21,23.07,46.68,3.03
27.19,23.13,46.65,3.03
27.39,23.11,46.30,3.20
27.41,23.15,46.38,3.07
27.10,23.22,46.60,3.08
27.37,23.09,46.36,3.17
27.42,22.80,46.50,3.28
27.04,23.12,46.66,3.18
27.42,23.01,46.30,3.26
27.58,23.05,46.03,3.34
27.35,23.11,46.48,3.07
27.19,22.95,46.90,2.96
27.36,22.86,46.74,3.04
27.64,23.18,45.93,3.25
27.27,23.06,46.58,3.09
27.26,22.91,46.64,3.19
27.17,22.95,46.91,2.98
27.43,23.07,46.36,3.14
27.26,22.90,46.81,3.02
27.42,22.96,46.61,3.01
27.59,23.90,45.56,2.96
27.29,23.31,46.53,2.87
27.32,22.93,46.76,3.00
27.31,22.98,46.55,3.16
27.52,22.84,46.60,3.04
26.95,23.00,47.15,2.90
27.30,23.07,46.69,2.93
27.30,23.05,46.51,3.14
27.30,22.93,46.52,3.26
27.37,22.96,46.53,3.14
27.25,23.04,46.54,3.17
27.17,23.16,46.60,3.08
27.19,23.02,46.86,2.93
27.27,22.93,46.63,3.17
27.28,23.21,46.41,3.09
27.37,22.98,46.47,3.18
27.28,23.14,46.57,3.01
27.51,22.97,46.60,2.92
27.42,23.08,46.41,3.09
27.17,23.15,46.71,2.98
27.22,22.96,46.74,3.08
27.36,23.23,46.18,3.24
27.39,22.68,46.80,3.13
27.26,22.79,46.81,3.14
27.36,22.90,46.69,3.04
27.42,23.14,46.32,3.12
27.38,23.15,46.49,2.98
27.42,23.10,46.48,3.00
27.50,22.94,46.62,2.94
27.28,22.93,46.82,2.97
27.26,23.10,46.65,2.99
27.27,23.02,46.66,3.05
27.26,23.11,46.22,3.41
27.33,23.03,46.22,3.41
27.43,23.06,46.43,3.08
27.40,22.93,46.38,3.28
27.17,23.08,46.64,3.11
27.46,22.85,46.66,3.03
27.20,23.19,46.54,3.08
